Common Name,Botanical Name,Plant Type,Mature Size (H x W),Sun Requirements,Water Needs,Soil Preferences,Bloom Time & Color,Fall Color,Wildlife Value,Special Features,Landscape Use,Maintenance Level,SC Native,Guide Category,Photo URL
White Oak,Quercus alba,Shade Tree,50-100' x 50-100',Full Sun to Part Shade,Moderate,"Moist, acidic, well-drained",Spring catkins,Wine-red to purplish,Very High - acorns for wildlife,"Native, long-lived","Specimen tree, large shade, naturalized areas",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Keeler_Oak_Tree_-_distance_photo%2C_May_2013.jpg/960px-Keeler_Oak_Tree_-_distance_photo%2C_May_2013.jpg
Willow Oak,Quercus phellos,Shade Tree,60-75' x 40-60',Full Sun,Moderate,"Moist, acidic",Spring catkins,Yellow-brown,"High - acorns, birds","Native, fast-growing","Street tree, buffer strips, fast canopy",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tree_in_Mississippi.jpg/960px-Tree_in_Mississippi.jpg
Pin Oak,Quercus palustris,Shade Tree,60-70' x 25-40',Full Sun to Part Shade,Moderate,"Acidic, well-drained (chlorosis in high pH)",Spring catkins,Bronze to red,High - acorns,Pyramidal form,"Streets, lawns with acidic soils",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/1/15/Pin_oak_quercus_palustris.jpg
Water Oak,Quercus nigra,Shade Tree,50-60' x 50-60',Full Sun to Part Shade,Moderate,"Adaptable, tolerates wet",Spring catkins,Yellow,High - acorns,"Native, fast shade","Large properties, quick shade",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Quercus_nigra_USDA.jpg/960px-Quercus_nigra_USDA.jpg
Southern Red Oak,Quercus falcata,Shade Tree,60-80' x 50-70',Full Sun,Low to Moderate,"Adaptable, well-drained",Spring catkins,Reddish-brown,High - acorns,"Native, tough","Naturalized edges, shade",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Quercus_falcata_leaf_bark.jpg/960px-Quercus_falcata_leaf_bark.jpg
Red Maple,Acer rubrum,Shade Tree,40-60' x 25-35',Full Sun to Part Shade,Moderate,"Moist, slightly acidic, tolerates wet","Jan-Mar, showy red flowers",Red/orange/yellow,"Medium - samaras, early pollinators","Native, early bloomer","Shade, lawns, streets",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Acer_rubrum_15-p.bot-a.rubrum-114.jpg/960px-Acer_rubrum_15-p.bot-a.rubrum-114.jpg
Freeman Maple,Acer x freemanii,Shade Tree,40-50' x 30-40',Full Sun,Moderate,Adaptable,Late winter-spring,Orange-red,Medium,"Fast growth, reliable fall color","Shade, fall color specimen",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Red_and_green_Maple_Tree_%283972416112%29.jpg/960px-Red_and_green_Maple_Tree_%283972416112%29.jpg
Southern Sugar Maple,Acer barbatum,Shade Tree,30-60' x 30-50',Full Sun to Part Shade,Moderate,"Well-drained, slightly acidic",Spring,Yellow/orange/red,Medium,"Native, sugar maple substitute for South","Shade, fall color",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Acer_barbatum_9zz.jpg/960px-Acer_barbatum_9zz.jpg
American Elm (DED-resistant),Ulmus americana,Shade Tree,60-80' x 40-70',Full Sun to Part Shade,Moderate,Adaptable wet/dry,Early spring,Yellow,Medium,"Classic arching form, disease-resistant cultivars","Street tree, shade",Medium,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/American_Elm_Tree%2C_Old_South_Street%2C_Northampton%2C_MA_-_October_2019.jpg/960px-American_Elm_Tree%2C_Old_South_Street%2C_Northampton%2C_MA_-_October_2019.jpg
Lacebark Elm,Ulmus parvifolia,Shade Tree,30-50' x 35-50',Full Sun,Low to Moderate,"Heat/drought tolerant, well-drained",Late summer/fall,Yellow to reddish-purple,Medium,"Exfoliating bark, urban tough","Urban shade, specimen",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/RN_Ulmus_parvifolia_%28Hilversum%29.JPG/960px-RN_Ulmus_parvifolia_%28Hilversum%29.JPG
American Sycamore,Platanus occidentalis,Shade Tree,75-100' x 75-100',Full Sun to Part Shade,Moderate,"Deep, moist soils",Spring (not showy),Yellow-brown,Medium,"Native, massive canopy","Parks, stream corridors",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Buttonball_Sycamore_in_Sunderland%2C_MA_%28March_2019%29.jpg/960px-Buttonball_Sycamore_in_Sunderland%2C_MA_%28March_2019%29.jpg
London Planetree,Platanus x hispanica,Shade Tree,70-100' x 65-80',Full Sun to Part Shade,Moderate,Urban soil tolerant,Spring,Yellow-brown,Medium,"Urban tough, exfoliating bark","Urban canopy, streets",Low,No,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Platanus_orientalis_fruits%2C_Thasos.jpg/960px-Platanus_orientalis_fruits%2C_Thasos.jpg
River Birch,Betula nigra,Shade Tree,30-60' x 20-50',Full Sun to Part Shade,Moderate,"Acidic, moist, tolerates wet",Spring catkins,Pale yellow,"Medium - seeds, cover","Native, exfoliating bark","Multi-trunk specimen, wet areas, pond edges",Low,Yes,1. Shade Trees,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/RiverBirchBark01.JPG/960px-RiverBirchBark01.JPG
